Yard_1,Yard_2,Yard_3,Yard_4,Yard_5,Yard_6,Yard_7,Yard_8,Yard_9,Yard_10
2697,2749,2364,2420,2237,2131,2047,2029,1853,1879
2285,2312,1978,1947,1838,1854,1720,1669,1581,1546
2913,2912,2553,2570,2331,2284,2192,2154,2023,1968
2690,2685,2391,2357,2141,2121,2015,1945,1827,1863
3063,3085,2775,2743,2472,2496,2281,2282,2126,2083
3169,3148,2808,2857,2514,2552,2332,2379,2248,2144
2958,3006,2623,2661,2340,2405,2207,2192,2005,2060
3087,3155,2767,2740,2549,2511,2333,2314,2099,2171
3317,3417,3007,2985,2722,2755,2485,2526,2349,2314
3389,3331,3004,2993,2691,2720,2546,2510,2362,2291
3524,3477,3084,3084,2797,2786,2627,2596,2392,2408
3104,3116,2818,2753,2543,2539,2334,2373,2212,2139
2942,3017,2669,2576,2361,2383,2159,2264,2041,2053
2432,2502,2212,2226,1999,1982,1874,1830,1689,1663
3203,3204,2833,2839,2460,2531,2335,2376,2170,2110
2886,2968,2609,2547,2345,2272,2174,2114,1945,2016
3351,3364,2976,2975,2657,2642,2489,2502,2289,2273
3421,3463,3165,3068,2740,2797,2577,2536,2319,2353
3219,3230,2868,2949,2541,2582,2411,2380,2203,2245
3391,3385,2998,3025,2643,2725,2520,2569,2283,2325
3658,3714,3342,3256,2959,2949,2751,2732,2495,2530
3665,3688,3297,3198,2906,2919,2744,2716,2529,2555
3788,3839,3428,3313,2986,3067,2822,2848,2628,2575
3417,3473,3087,3031,2684,2720,2556,2555,2354,2362
3184,3354,2899,2851,2509,2541,2352,2399,2173,2260
2674,2729,2433,2379,2120,2168,1984,2060,1782,1901
3405,3439,3044,3008,2684,2718,2547,2583,2331,2381
3132,3187,2898,2764,2484,2556,2299,2348,2156,2177
3620,3662,3285,3200,2881,2907,2647,2694,2472,2475
3762,3846,3430,3322,2940,3018,2770,2802,2590,2596
3465,3567,3200,3119,2807,2828,2574,2621,2363,2432
3701,3729,3372,3287,2909,2890,2718,2752,2504,2522
4081,4065,3618,3584,3208,3193,2915,2952,2706,2738
3992,4049,3600,3535,3088,3211,2950,2974,2705,2689
4128,4181,3760,3636,3243,3338,3036,3044,2821,2789
3736,3798,3395,3296,2962,2989,2779,2818,2543,2499
3512,3572,3115,3146,2788,2795,2598,2646,2381,2430
2921,3014,2590,2600,2296,2359,2103,2175,1964,2022
3697,3822,3340,3268,3052,2956,2731,2804,2503,2602
3404,3456,3071,3015,2726,2763,2567,2580,2358,2399
3953,4050,3573,3472,3154,3219,2970,2985,2679,2775
4133,4195,3729,3576,3261,3247,3059,3090,2740,2825
3842,3881,3468,3406,3052,3029,2817,2922,2632,2651
3959,4096,3599,3595,3185,3229,2978,3023,2818,2789
4382,4461,3927,3814,3459,3520,3247,3272,2990,3023
4316,4379,3857,3833,3424,3421,3179,3275,2984,3047
4487,4607,4049,3955,3583,3567,3393,3417,3085,3139
4075,4154,3636,3563,3209,3213,3039,3006,2771,2834
3879,3871,3455,3357,3115,3020,2818,2904,2648,2630
3245,3291,2870,2802,2481,2510,2371,2421,2210,2233
4136,4177,3650,3523,3208,3187,3018,3106,2784,2842
3786,3782,3332,3316,2957,2935,2768,2801,2556,2594
4351,4409,3811,3827,3432,3409,3203,3256,2932,3000
4487,4558,3961,3943,3591,3579,3296,3332,3059,3103
4163,4251,3713,3692,3357,3319,3105,3103,2836,2925
