Yard_1,Yard_2,Yard_3,Yard_4,Yard_5,Yard_6,Yard_7,Yard_8,Yard_9,Yard_10,Yard_11,Yard_12,Yard_13,Yard_14,Yard_15
2697,2749,2676,2420,2471,2365,2203,2185,2165,2035,2040,2059,1817,1874,1873
2285,2312,2238,1947,2033,2049,1850,1799,1841,1676,1673,1650,1539,1561,1578
2913,2912,2885,2570,2580,2533,2358,2320,2355,2134,2169,2180,1937,1942,1992
2690,2685,2695,2357,2369,2349,2167,2097,2131,2015,1980,1996,1859,1860,1775
3063,3085,3127,2743,2736,2760,2457,2458,2478,2259,2259,2252,2160,2086,2096
3169,3148,3172,2857,2787,2825,2514,2561,2612,2326,2339,2391,2207,2194,2191
2958,3006,2963,2661,2595,2660,2377,2362,2345,2230,2221,2218,2010,2040,2065
3087,3155,3123,2740,2816,2778,2511,2492,2455,2349,2307,2334,2180,2166,2117
3317,3417,3395,2985,3013,3046,2679,2720,2737,2508,2497,2493,2320,2394,2394
3389,3331,3388,2993,2979,3008,2738,2702,2746,2483,2468,2501,2268,2265,2247
3524,3477,3484,3084,3097,3086,2827,2796,2792,2608,2591,2549,2371,2381,2383
3104,3116,3178,2753,2813,2809,2514,2553,2572,2319,2387,2272,2147,2166,2158
2942,3017,3012,2576,2614,2637,2328,2433,2378,2222,2214,2126,2095,2054,1984
2432,2502,2498,2226,2210,2193,2015,1971,1970,1804,1823,1852,1755,1663,1681
3203,3204,3198,2839,2729,2801,2515,2556,2529,2290,2284,2316,2171,2175,2144
2886,2968,2943,2547,2591,2519,2339,2279,2273,2181,2185,2133,1997,1993,1992
3351,3364,3363,2975,2942,2929,2679,2693,2670,2463,2521,2483,2269,2322,2239
3421,3463,3566,3068,3035,3094,2774,2734,2713,2550,2576,2563,2375,2451,2378
3219,3230,3242,2949,2816,2859,2595,2565,2570,2428,2416,2410,2270,2224,2269
3391,3385,3389,3025,2931,3015,2713,2762,2668,2518,2543,2488,2395,2301,2272
3658,3714,3769,3256,3273,3265,2961,2942,2915,2740,2708,2741,2520,2524,2526
3665,3688,3719,3198,3217,3231,2952,2924,2944,2763,2710,2690,2513,2446,2475
3788,3839,3868,3313,3310,3393,3039,3065,3061,2791,2864,2832,2635,2582,2611
3417,3473,3483,3031,2975,3013,2751,2750,2743,2557,2518,2547,2381,2330,2339
3184,3354,3275,2851,2782,2818,2535,2584,2537,2444,2387,2431,2220,2202,2193
2674,2729,2747,2379,2348,2399,2137,2214,2086,2055,2095,1988,1817,1851,1792
3405,3439,3445,3008,2975,3012,2742,2779,2719,2577,2585,2579,2364,2391,2308
3132,3187,3265,2764,2750,2825,2477,2528,2511,2357,2375,2332,2150,2132,2164
3620,3662,3710,3200,3189,3219,2854,2902,2883,2683,2713,2723,2503,2479,2519
3762,3846,3870,3322,3259,3341,2984,3017,3016,2812,2822,2786,2604,2624,2597
3465,3567,3611,3119,3105,3129,2774,2822,2760,2633,2632,2593,2388,2411,2400
3701,3729,3802,3287,3221,3206,2927,2963,2920,2733,2753,2747,2524,2510,2469
4081,4065,4086,3584,3548,3537,3143,3182,3160,2968,3037,2934,2709,2783,2730
3992,4049,4063,3535,3424,3552,3175,3201,3154,2916,2973,2951,2724,2718,2749
4128,4181,4243,3636,3594,3693,3271,3281,3289,3026,3142,3035,2845,2877,2833
3736,3798,3830,3296,3278,3309,2991,3031,2964,2712,2880,2798,2570,2542,2527
3512,3572,3523,3146,3087,3094,2799,2849,2781,2633,2643,2627,2465,2451,2367
2921,3014,2930,2600,2546,2608,2271,2344,2298,2192,2213,2216,2036,2017,2022
3697,3822,3773,3268,3371,3274,2945,3020,2930,2818,2804,2761,2582,2593,2585
3404,3456,3468,3015,3018,3054,2763,2777,2748,2597,2552,2526,2381,2361,2329
3953,4050,4033,3472,3492,3556,3196,3214,3132,3004,2943,2933,2694,2745,2699
4133,4195,4205,3576,3610,3596,3294,3326,3208,3062,3071,3066,2801,2813,2813
3842,3881,3912,3406,3379,3355,3036,3143,3068,2872,2834,2803,2612,2570,2607
3959,4096,4064,3595,3527,3571,3207,3254,3275,3021,2914,2972,2777,2764,2742
4382,4461,4434,3814,3832,3892,3497,3525,3488,3276,3284,3260,3074,3060,3053
4316,4379,4359,3833,3793,3789,3426,3525,3478,3297,3264,3213,3058,3014,2952
4487,4607,4571,3955,3967,3950,3650,3677,3599,3399,3301,3337,3134,3139,3072
4075,4154,4106,3563,3555,3558,3271,3240,3234,3068,3005,3028,2819,2836,2755
3879,3871,3895,3357,3444,3346,3036,3126,3086,2852,2825,2767,2636,2632,2568
3245,3291,3238,2802,2755,2782,2553,2606,2576,2418,2375,2331,2197,2251,2125
4136,4177,4119,3523,3558,3535,3251,3342,3251,3078,3071,3047,2801,2840,2783
3786,3782,3761,3316,3278,3254,2982,3017,2983,2810,2776,2739,2573,2586,2546
4351,4409,4308,3827,3803,3777,3450,3506,3427,3250,3192,3210,3011,2992,2945
4487,4558,4475,3943,3975,3960,3551,3591,3570,3361,3320,3299,3127,3111,3060
4163,4251,4193,3692,3716,3675,3343,3345,3314,3167,3083,3138,2936,2915,2878
4440,4476,4415,3867,3874,3828,3463,3493,3541,3307,3266,3186,2989,3035,2958
4797,4893,4799,4184,4226,4268,3838,3834,3818,3587,3519,3545,3312,3227,3255
4741,4800,4777,4146,4203,4136,3788,3867,3783,3504,3488,3525,3250,3278,3162
4987,5040,4959,4351,4387,4364,3912,3933,3928,3712,3685,3587,3414,3371,3385
4429,4530,4452,3908,3886,3945,3521,3573,3547,3349,3262,3279,3148,3067,2972
