Yard_1,Yard_2,Yard_3,Yard_4,Yard_5
2697,2437,2130,1874,2081
2285,2052,1783,1492,1708
2913,2580,2304,1989,2165
2690,2381,2163,1825,1989
3063,2733,2511,2127,2296
3169,2784,2535,2220,2332
2958,2666,2368,2066,2170
3087,2799,2500,2117,2371
3317,3029,2716,2306,2528
3389,2947,2716,2321,2499
3524,3077,2784,2384,2597
3104,2756,2548,2123,2363
2942,2675,2412,1984,2193
2432,2218,1998,1732,1859
3203,2841,2559,2209,2281
2886,2636,2358,1970,2181
3351,2978,2685,2307,2467
3421,3065,2865,2377,2543
3219,2857,2587,2304,2357
3391,2995,2704,2349,2450
3658,3289,3022,2520,2749
3665,3268,2980,2469,2699
3788,3401,3098,2554,2770
3417,3079,2790,2348,2489
3184,2980,2616,2206,2326
2674,2418,2197,1841,1968
3405,3041,2744,2321,2489
3132,2822,2623,2135,2306
3620,3240,2966,2472,2675
3762,3410,3101,2570,2727
3465,3159,2892,2417,2608
3701,3302,3050,2551,2701
4081,3600,3267,2782,2981
3992,3589,3252,2741,2863
4128,3702,3398,2809,3010
3736,3367,3069,2552,2752
3512,3162,2810,2446,2588
2921,2672,2335,2016,2130
3697,3386,3014,2523,2839
3404,3057,2773,2333,2531
3953,3588,3228,2682,2929
4133,3717,3373,2759,3028
3842,3434,3135,2644,2835
3959,3628,3250,2796,2958
4382,3951,3547,2943,3211
4316,3874,3481,2971,3179
4487,4082,3657,3058,3327
4075,3681,3283,2755,2979
3879,3425,3124,2593,2895
3245,2920,2595,2165,2298
4136,3703,3298,2711,2974
3786,3347,3009,2572,2743
4351,3906,3438,2966,3184
4487,4038,3575,3052,3335
4163,3765,3352,2860,3118
4440,3967,3535,2996,3248
4797,4339,3840,3234,3544
4741,4252,3827,3206,3528
4987,4468,3970,3372,3683
4429,4015,3562,3027,3253
4169,3769,3380,2787,3142
3506,3172,2809,2381,2633
4450,3998,3615,2999,3335
4045,3675,3228,2782,3000
4717,4249,3790,3178,3497
4913,4411,3898,3256,3648
4545,4187,3701,3043,3357
4806,4256,3782,3239,3575
5109,4720,4124,3536,3865
5159,4602,4088,3465,3821
5350,4830,4213,3657,4014
4804,4393,3834,3224,3606
4585,4188,3581,3179,3438
3799,3455,3043,2532,2794
4834,4423,3888,3290,3586
4396,3997,3574,3004,3274
5119,4744,4127,3475,3773
5340,4887,4289,3635,4006
4961,4554,3985,3407,3655
5188,4750,4147,3556,3842
5684,5150,4522,3828,4253
5645,5110,4469,3883,4118
5852,5341,4673,3916,4367
5269,4759,4165,3541,3867
4954,4459,3968,3364,3653
4155,3732,3347,2776,3147
5248,4785,4178,3571,3960
4815,4394,3852,3263,3618
5575,5022,4481,3818,4176
5733,5220,4635,3920,4347
5405,4871,4314,3664,4048
5658,5096,4550,3814,4273
6158,5628,4907,4155,4624
6087,5530,4884,4114,4578
6306,5710,5095,4311,4753
5701,5200,4598,3856,4286
5380,4877,4351,3618,4108
4467,4104,3646,3081,3390
5716,5138,4571,3912,4284
5168,4796,4200,3618,3927
6026,5468,4880,4149,4523
6303,5638,5101,4337,4721
5847,5295,4711,3994,4358
6073,5608,4975,4136,4630
6641,6051,5377,4613,5089
6575,5961,5351,4509,4998
6883,6199,5569,4675,5170
6179,5611,4989,4251,4681
5802,5397,4704,4052,4396
4849,4414,3945,3290,3687
6179,5678,4956,4293,4720
5624,5215,4585,3947,4307
6587,6077,5317,4499,4896
6799,6196,5413,4733,5082
6353,5863,5070,4399,4764
6600,6103,5284,4583,5009
7265,6621,5818,5028,5473
7107,6596,5787,5025,5380
7464,6862,6051,5169,5632
6767,6153,5408,4655,5041
6316,5842,5127,4389,4695
5304,4856,4258,3661,3927
6788,6139,5424,4751,5085
6195,5711,4991,4321,4593
7143,6550,5742,4979,5366
7376,6856,5897,5184,5478
6919,6365,5555,4858,5229
7187,6645,5828,5032,5400
7890,7254,6373,5487,5899
7765,7163,6230,5426,5840
8136,7450,6531,5698,6096
7300,6724,5879,5132,5425
6826,6273,5557,4802,5220
5698,5268,4593,4047,4283
7313,6705,5886,5073,5508
6637,6109,5372,4629,4990
7734,7125,6255,5350,5802
8030,7349,6498,5632,6054
7416,6880,6014,5239,5586
7821,7197,6343,5463,5923
8525,7799,6880,5964,6418
8453,7726,6801,5861,6313
8744,8088,7106,6214,6613
7863,7277,6368,5530,5964
