K,total_cost,renovation_cost,operating_cost,delay_cost,starts
1,172189319.99999997,3000000.0,168359669.99999997,829650.0,1
2,170936080.0,6000000.0,164936080.0,0.0,2
3,169994680.0,9000000.0,160654930.0,339750.0,3
4,169298680.0,12000000.0,155698930.0,1599750.0,4
5,168602680.0,15000000.0,150742930.0,2859750.0,5
6,168377080.0,18000000.0,147517330.0,2859750.0,6
7,168151480.0,21000000.0,144291730.0,2859750.0,7
8,168631480.0,24000000.0,141771730.0,2859750.0,8
9,169111480.0,27000000.0,139251730.0,2859750.0,9
10,169591480.0,30000000.0,136731730.0,2859750.0,10
11,170957050.0,33000000.0,135097300.0,2859750.0,11
12,173041690.0,36000000.0,134181940.0,2859750.0,12
13,175884160.0,39000000.0,134024410.0,2859750.0,13
14,178884160.0,42000000.0,134024410.0,2859750.0,14
15,181884160.0,45000000.0,134024410.0,2859750.0,15
